# Calibration done with dataset 20210311190100_characterize_FTUNE
delay_chip,FTUNE (V),average delay (s)
A,0.0,4.286292959626265e-11
A,0.0127551020408163,4.15147480814146e-11
A,0.0255102040816326,4.106219552886205e-11
A,0.0382653061224489,4.034124124124129e-11
A,0.0510204081632653,3.9113246579913225e-11
A,0.0637755102040816,3.8434501167834246e-11
A,0.0765306122448979,3.83759759759758e-11
A,0.0892857142857142,3.7142242242242e-11
A,0.1020408163265306,3.640637303970613e-11
A,0.1147959183673469,3.607881214547882e-11
A,0.1275510204081632,3.454327660994309e-11
A,0.1403061224489796,3.4376242909575896e-11
A,0.1530612244897959,3.345221888555224e-11
A,0.1658163265306122,3.2685585585585515e-11
A,0.1785714285714285,3.2036169502836094e-11
A,0.1913265306122449,3.112786119452761e-11
A,0.2040816326530612,3.037781114447786e-11
A,0.2168367346938775,2.9798465131798334e-11
A,0.2295918367346938,2.8598098098097867e-11
A,0.2423469387755102,2.8369536202869527e-11
A,0.2551020408163265,2.7045378712045428e-11
A,0.2678571428571428,2.64607273940605e-11
A,0.2806122448979592,2.5620220220220148e-11
A,0.2933673469387755,2.5062295628962226e-11
A,0.3061224489795918,2.429903236569892e-11
A,0.3188775510204081,2.3702068735401962e-11
A,0.3316326530612244,2.3035468802135458e-11
A,0.3443877551020408,2.252245578912227e-11
A,0.3571428571428571,2.1662996329663027e-11
A,0.3698979591836734,2.135909242575897e-11
A,0.3826530612244898,2.0539305972639167e-11
A,0.3954081632653061,2.0067067067066907e-11
A,0.4081632653061224,1.896549883216533e-11
A,0.4209183673469387,1.8712879546212698e-11
A,0.4336734693877551,1.7758892225558794e-11
A,0.4464285714285714,1.7140573907240457e-11
A,0.4591836734693877,1.6313046379712886e-11
A,0.4719387755102041,1.6236936936936664e-11
A,0.4846938775510204,1.5636503169836272e-11
A,0.4974489795918367,1.5017617617617536e-11
A,0.5102040816326531,1.4709576242909427e-11
A,0.5229591836734694,1.3862629295962448e-11
A,0.5357142857142857,1.3289022355688805e-11
A,0.548469387755102,1.331998665331962e-11
A,0.5612244897959184,1.2680280280280168e-11
A,0.5739795918367347,1.2095362028695206e-11
A,0.5867346938775511,1.1515315315315039e-11
A,0.5994897959183674,1.1151851851851504e-11
A,0.6122448979591837,1.0551351351351275e-11
A,0.625,1.0326826826826716e-11
A,0.6377551020408163,9.860193526860083e-12
A,0.6505102040816326,9.301835168501708e-12
A,0.6632653061224489,8.867300633967109e-12
A,0.6760204081632654,8.202502502502462e-12
A,0.6887755102040817,7.672505839172401e-12
A,0.701530612244898,7.128294961628284e-12
A,0.7142857142857143,6.895562228895513e-12
A,0.7270408163265306,6.471004337670774e-12
A,0.7397959183673469,5.684851518184848e-12
A,0.7525510204081632,5.187754421087522e-12
A,0.7653061224489797,4.906840173506721e-12
A,0.778061224489796,4.246913580246811e-12
A,0.7908163265306123,4.295829162495861e-12
A,0.8035714285714286,4.109976643310083e-12
A,0.8163265306122449,3.840106773440051e-12
A,0.8290816326530612,3.738872205538756e-12
A,0.8418367346938775,3.4008008008008783e-12
A,0.8545918367346939,3.0487153820485136e-12
A,0.8673469387755102,2.741141141141099e-12
A,0.8801020408163266,2.959325992659128e-12
A,0.8928571428571429,2.1190523857188597e-12
A,0.9056122448979592,1.9130463797129275e-12
A,0.9183673469387756,1.97914581247908e-12
A,0.9311224489795918,1.7736736736734601e-12
A,0.9438775510204082,1.5131798465133062e-12
A,0.9566326530612244,1.12682682682666e-12
A,0.9693877551020408,9.193860527192863e-13
A,0.9821428571428572,8.649983316649172e-13
A,0.9948979591836736,5.570904237569921e-13
A,1.0076530612244898,7.632632632630018e-13
A,1.020408163265306,8.50016683349968e-13
A,1.0331632653061225,8.539873206539375e-13
A,1.0459183673469388,6.392058725389488e-13
A,1.058673469387755,6.937270603935285e-13
A,1.0714285714285714,5.954954954953205e-13
A,1.0841836734693877,3.6299632966289735e-13
A,1.096938775510204,5.961294627960219e-13
A,1.1096938775510203,3.9829829829818884e-13
A,1.1224489795918369,4.88855522188711e-13
A,1.1352040816326532,8.560560560558349e-13
A,1.1479591836734695,9.350016683346979e-13
A,1.1607142857142858,3.893893893891673e-13
A,1.173469387755102,3.6426426426407407e-13
A,1.1862244897959184,1.2762762762749416e-13
A,1.1989795918367347,1.442776109442325e-13
A,1.211734693877551,1.9085752419066642e-13
A,1.2244897959183674,2.6246246246223755e-13
A,1.2372448979591837,3.27594260927372e-13
A,1.25,0.0
B,0.0,4.14139472806142e-11
B,0.0127551020408163,4.064034034034017e-11
B,0.0255102040816326,3.993533533533536e-11
B,0.0382653061224489,3.870523857190482e-11
B,0.0510204081632653,3.793350016683347e-11
B,0.0637755102040816,3.6990757424090806e-11
B,0.0765306122448979,3.6054354354354417e-11
B,0.0892857142857142,3.50980647313979e-11
B,0.1020408163265306,3.458098098098078e-11
B,0.1147959183673469,3.3896463129796155e-11
B,0.1275510204081632,3.2895462128794996e-11
B,0.1403061224489796,3.179035702369025e-11
B,0.1530612244897959,3.0685952619285983e-11
B,0.1658163265306122,3.0343009676343175e-11
B,0.1785714285714285,2.9907273940607236e-11
B,0.1913265306122449,2.8945812479145727e-11
B,0.2040816326530612,2.8236469803136225e-11
B,0.2168367346938775,2.7671638304971458e-11
B,0.2295918367346938,2.6844978311645103e-11
B,0.2423469387755102,2.635762429095765e-11
B,0.2551020408163265,2.585342008675327e-11
B,0.2678571428571428,2.510553887220541e-11
B,0.2806122448979592,2.4309876543210372e-11
B,0.2933673469387755,2.3907841174507488e-11
B,0.3061224489795918,2.3154187520854098e-11
B,0.3188775510204081,2.2710810810810948e-11
B,0.3316326530612244,2.1958191524858083e-11
B,0.3443877551020408,2.1101434768101367e-11
B,0.3571428571428571,2.0712612612612528e-11
B,0.3698979591836734,2.012655989322625e-11
B,0.3826530612244898,1.9386286286286136e-11
B,0.3954081632653061,1.9033900567233742e-11
B,0.4081632653061224,1.8282215548881983e-11
B,0.4209183673469387,1.7942509175842248e-11
B,0.4336734693877551,1.687464130797445e-11
B,0.4464285714285714,1.700206873540209e-11
B,0.4591836734693877,1.626733400066708e-11
B,0.4719387755102041,1.5805038371704736e-11
B,0.4846938775510204,1.5120420420420238e-11
B,0.4974489795918367,1.4471504838171586e-11
B,0.5102040816326531,1.3845078411745149e-11
B,0.5229591836734694,1.3340807474140686e-11
B,0.5357142857142857,1.3022389055722324e-11
B,0.548469387755102,1.2370370370370376e-11
B,0.5612244897959184,1.1723423423423368e-11
B,0.5739795918367347,1.0913213213213303e-11
B,0.5867346938775511,1.0429729729729484e-11
B,0.5994897959183674,1.007477477477505e-11
B,0.6122448979591837,9.332799466132924e-12
B,0.625,8.672872872872865e-12
B,0.6377551020408163,8.391858525192102e-12
B,0.6505102040816326,7.873206539873382e-12
B,0.6632653061224489,7.5466800133467e-12
B,0.6760204081632654,7.3395395395392e-12
B,0.6887755102040817,7.294761428094773e-12
B,0.701530612244898,6.525725725725731e-12
B,0.7142857142857143,6.336269602936303e-12
B,0.7270408163265306,5.8602268935598995e-12
B,0.7397959183673469,5.438171504838093e-12
B,0.7525510204081632,5.086319652986334e-12
B,0.7653061224489797,4.944477811144402e-12
B,0.778061224489796,4.672072072071887e-12
B,0.7908163265306123,4.282982982983014e-12
B,0.8035714285714286,3.9716383049714775e-12
B,0.8163265306122449,3.478378378378085e-12
B,0.8290816326530612,2.8311311311305305e-12
B,0.8418367346938775,2.718618618618377e-12
B,0.8545918367346939,1.8653987320649575e-12
B,0.8673469387755102,1.971671671671545e-12
B,0.8801020408163266,1.5151484818150021e-12
B,0.8928571428571429,1.603169836503313e-12
B,0.9056122448979592,1.3021021021018464e-12
B,0.9183673469387756,1.5236236236232407e-12
B,0.9311224489795918,1.8548548548547633e-12
B,0.9438775510204082,1.7660994327658143e-12
B,0.9566326530612244,1.7299966633296535e-12
B,0.9693877551020408,1.5788788788785424e-12
B,0.9821428571428572,1.2840507173840374e-12
B,0.9948979591836736,1.5693026359691012e-12
B,1.0076530612244898,8.50817484150805e-13
B,1.020408163265306,9.17350684016784e-13
B,1.0331632653061225,3.091091091088123e-13
B,1.0459183673469388,7.844844844840531e-13
B,1.058673469387755,4.658992325659559e-13
B,1.0714285714285714,6.167167167162102e-13
B,1.0841836734693877,6.762762762756752e-13
B,1.096938775510204,3.040040040039413e-13
B,1.1096938775510203,2.5805805805775e-13
B,1.1224489795918369,4.52619285952695e-13
B,1.1352040816326532,3.522856189521863e-13
B,1.1479591836734695,2.5685685685652027e-13
B,1.1607142857142858,4.914914914914147e-13
B,1.173469387755102,5.486486486485752e-13
B,1.1862244897959184,3.9683016349647327e-13
B,1.1989795918367347,5.696029362695995e-13
B,1.211734693877551,8.732065398713904e-14
B,1.2244897959183674,1.752164269294441e-13
B,1.2372448979591837,1.7530864197507903e-13
B,1.25,0.0
